Партія,Номер територіального виборчого округу (в порядку зростання),Код статті,Дата платежу,Номер розрахункового документа,Отримувач (повна назва),Місцезнаходження отримувача,Код отримувача (ЄДРПОУ),Призначення платежу,Сума (грн),Тип бенефіціара,Розшифровка коду витрат
Європейська Солідарність,221,1211,2019-06-26,2,"ТОВ ""Телеканал ""Прямий""","м. Київ, вул. Мечнікова, буд. 2А",04948693,"+;1211; за розм.мат.передв.агіт. на ТК на період 26.06-02.07.19 зг.рах.№403 від 25.06.19,дод.№1 до дог.№68-П/BSA2 від 25.06.19 в т. ч. ПДВ 20% 121028.57 грн.","726171,43",юридична особа,оплата ефірного часу на телебаченні
Європейська Солідарність,221,1211,2019-06-26,3,"Підприємство з іноземними інвестиціями у формі ТОВ ""Телерадіокомпанія ""НБМ""","м. Київ, вул. ЕЛЕКТРИКІВ, буд. 26",22837796,+;1211; за розм.політ. рекл. на ТК 5 к на період 26.06-02.07.19 зг.рах.№188 від 25.06.19 до дог.№1046 від 25.06.19 в т.ч. ПДВ 20% 68347.40 грн.,"234333,94",юридична особа,оплата ефірного часу на телебаченні
Європейська Солідарність,221,1211,2019-06-26,4,"ТОВ ""Телерадіокомпанія ""Експрес-інформ""","м. Київ, вул. ПАВЛА УСЕНКА, буд. 8",30184432,+;1211; за розм.політ.рекл. на ТК 5 к на період 26.06-02.07.19 зг.рах.№94 від 25.06.19 до дог.№302-КД від 25.06.19 в т.ч. ПДВ 20% 39055.66 грн.,"234333,94",юридична особа,оплата ефірного часу на телебаченні
Європейська Солідарність,221,1211,2019-06-26,5,"ТОВ ""Телеканал ""СТБ""","м. Київ, вул. Івана Шевцова, буд. 1",20044726,"+;1211; за ефірний час на ТБ на період 26.06-02.07.19 зг.рах.№415 від 25.06.19,дод.№1 від 25.06.19 до дог.№5-СТБ-ВРУ2019 від 25.06.19 в т.ч.ПДВ 20% 100000.00 гр",600000,юридична особа,оплата ефірного часу на телебаченні
Європейська Солідарність,221,1211,2019-06-26,7,"ТОВ ""Новий канал""","м. Київ, вул. Тургенєвська, буд. 25",23530545,"+;1211; за еф.час на ТБ на період 26.06-02.07.19 зг.рах.№СФ-00000183 від 25.06.19, дод.1 від 25.06.19 до дог.№3-НК-ВРУ2019 від 25.06.19 в т. ч. ПДВ 20% 50000 гр",300000,юридична особа,оплата ефірного часу на телебаченні
Європейська Солідарність,221,1211,2019-06-26,8,"ТОВ ""Міжнародна комерційна телерадіокомпанія"" (ICTV)","м. Київ, вул. Паньківська, буд. 11",14323764,"+;1211; за еф.час на ТБ на період 26.06-02.07.19 зг.рах.№202 від 26.06.19, дод.1 від 25.06.19 до дог.№5-ICTV-ВРУ2019 від 25.06.19 в т. ч. ПДВ 20% 100000.00 грн.",600000,юридична особа,оплата ефірного часу на телебаченні
Європейська Солідарність,221,1211,2019-06-26,15,"ПАТ ""НСТУ""","м. Київ, вул. Мельникова, буд. 42",23152907,"+;1211; за розм.МПА на ТК UA Перший за 26.06-19.07.19 зг.рах.№НТК000000200 від 25.06.19, дод.№1 та №3 до дог.№95-32/3 від 25.06.19в т.ч.ПДВ 41666.67 грн.",250000,юридична особа,оплата ефірного часу на телебаченні
Європейська Солідарність,221,1212,2019-06-26,17,"ТОВ ""Радіомовна компанія ""Армянське радіо-Україна""","М. КИЇВ, ПЕЧЕРСЬКИЙ р-н, вул. М. ГРУШЕВСЬКОГО, буд. 28/2, КВ. (оф.) 43",31513637,+;1212; за ефірн.час на РС на період 26.06-02.07.19 зг.рах.№23 від 25.06.19 до дог.№3 від 25.06.19 в т. ч. ПДВ 20% 859.86 грн,"5159,16",юридична особа,оплата ефірного часу на радіо
Європейська Солідарність,221,1211,2019-06-26,6,"ТОВ ""Телерадіокомпанія ""Студія 1+1""","м. Київ, вул. Кирилівська, буд. 23",23729809,+;1211; за розповс.політ.агіт. на ТБ на період 26.06-02.07.19 зг.рах.№553 від 25.06.19 до дог.№ВР-10 від 25.06.19 в т. ч. ПДВ 20% 232714.29 грн.,"1396285,71",юридична особа,оплата ефірного часу на телебаченні
Європейська Солідарність,221,1212,2019-06-26,12,"ТОВ ""Контакт-інформ""","М. КИЇВ, ГОЛОСІЇВСЬКИЙ р-н, вул. ВОЛОДИМИРСЬКА, буд. 61/11, КВ. (оф.) 50",36045376,+;1212; оплата за передвиб.аг.на РС Люкс ФМ на період 26.06-02.07.19 зг.рах.№КІ27 від 25.06.19 до дог.№КІ.25.06.19-406957 від 25.06.19 в т.ч.ПДВ 247.86 грн.,"1487,16",юридична особа,оплата ефірного часу на радіо
Європейська Солідарність,221,1212,2019-06-26,13,"ТОВ ""Телерадіокомпанія ""Радіо великих доріг""","М. КИЇВ, ГОЛОСІЇВСЬКИЙ р-н, вул. ВОЛОДИМИРСЬКА, буд. 61/11, КВ. (оф.) 50",32355150,+;1212; оплата за передвиб.аг.на РС Люкс ФМ на період 26.06-02.07.19 зг.рах.№РВ35 від 25.06.19 до дог.№РВ.25.06.19-406958 від 25.06.19  Без ПДВ,"856,8",юридична особа,оплата ефірного часу на радіо
Європейська Солідарність,221,1212,2019-06-26,14,"Дочірнє підприємство ""Телерадіокомпанія ""Люкс""","М. КИЇВ, ГОЛОСІЇВСЬКИЙ р-н, вул. ВОЛОДИМИРСЬКА, буд. 61/11, КВ. (оф.) 50",36885235,+;1212; оплата за передвиб.аг.на РС Люкс ФМ на період 26.06-02.07.19 зг.рах.№ДП27 від 25.06.19 до дог.№ДП.25.06.19-406959 від 25.06.19 в т. ч. ПДВ 859.86 грн.,"5159,16",юридична особа,оплата ефірного часу на радіо
Європейська Солідарність,221,1211,2019-06-26,9,"ПрАТ ""Телерадіокомпанія ""Люкс""","м. Львів, пл. Галицька, буд. 15",20765851,+;1211; за передвиб.агіт. на ТК 24 на період 26.06-02.07.19 зг.рах.№Л В479 від 25.06.19 до дог.№ЛВ.25.06.19-406872 від 25.06.19 в т. ч. ПДВ 20% 36411.43 грн.,"218468,57",юридична особа,оплата ефірного часу на телебаченні
Європейська Солідарність,221,1212,2019-06-26,20,"ТОВ ""Телерадіокомпанія ""Белком""","м. Київ, вул. Володимирська, буд. 61/11, оф. 50",32276619,+;1212; оплата за передвиб.аг.на РС Люкс ФМ на період 26.06-02.07.19 зг.рах.№БЛ33 від 25.06.19 до дог.№БЛ.25.06.19-406963 від 25.06.19  в т. ч. ПДВ 20% 171.36 г,"1028,16",юридична особа,оплата ефірного часу на радіо
Європейська Солідарність,221,1212,2019-06-26,10,"ПрАТ ""Телерадіокомпанія ""Люкс""","м. Львів, пл. Галицька, буд. 15",20765851,+;1212; за передвиб.агіт.на РС Люкс ФМ на період 26.06-02.07.19 зг.рах. №ЛВ480 від 25.06.19 до дог.№ЛВ.25.06.19-406872 від 25.06.19 в т. ч. ПДВ 20% 5859.90 грн.,"35159,4",юридична особа,оплата ефірного часу на радіо
Європейська Солідарність,221,1212,2019-06-26,11,"ПрАТ ""Телерадіокомпанія ""Люкс""","М. КИЇВ, ГОЛОСІЇВСЬКИЙ р-н, вул. ВОЛОДИМИРСЬКА, буд. 61/11, КВ. (оф.) 50",23158131,+;1212; оплата за передвиб.аг.на РС Люкс ФМ на період 26.06-02.07.19 зг.рах.№КЛ39 від 25.06.19 до дог.№ КЛ.25.06.19-406955 від 25.06.19 в т. ч. ПДВ 2900.88 грн.,"17405,28",юридична особа,оплата ефірного часу на радіо
Європейська Солідарність,221,1212,2019-06-26,19,"ПП ""Вісма-радіо-ТБ""","м. Київ, вул. Володимирська, буд. 61/11, оф. 50",24388823,+;1212; оплата за передвиб.аг.на РС Люкс ФМ на період 26.06-02.07.19 зг.рах.№ВС26 від 25.06.19 до дог.№ ВС.25.06.19-406962 від 25.06.19  в т. ч. ПДВ  125.46 грн,"752,76",юридична особа,оплата ефірного часу на радіо
Європейська Солідарність,221,1212,2019-06-26,23,"ПП ""Телерадіокомппанія ""Софія""","м. Херсон, вул. 49-ї гвардійської дивізії, буд. 16/1",32479351,+;1212; оплата за передвиб.аг.на РС на період 26.06-02.07.19 зг.рах.№79 від 25.06.19 до дог.№18 від 25.06.19  в т. ч. ПДВ 20% 556.92 грн.,"3341,52",юридична особа,оплата ефірного часу на радіо
Європейська Солідарність,221,1212,2019-06-26,18,"ТОВ ""Телерадіокомпанія ""Ностальгія""","М. КИЇВ, ПЕЧЕРСЬКИЙ р-н, вул. ЩОРСА, буд. 32А, КВ. (оф.) 94",30632797,+;1212; за ефірн.час на РС на період 26.06-02.07.19 зг.рах.№РН10 від 25.06.19 до дог.№РН.25.06.19-406968 від 25.06.19  в т. ч. ПДВ 20% 1640.16,"9840,96",юридична особа,оплата ефірного часу на радіо
Європейська Солідарність,221,1212,2019-06-26,16,"ПАТ ""НСТУ""","м. Київ, вул. Мельникова, буд. 42",23152907,"+;1212; за розм.МПА на Укр.радіо за 26.06-19.07.19 зг.рах. №НТК000000200 від 25.06.19, дод.№2 та №4 до дог.№95-32/3 від 25.06.19в т.ч.ПДВ 20% 25000.00 грн.",150000,юридична особа,оплата ефірного часу на радіо
Європейська Солідарність,221,1212,2019-06-26,21,"Дочірнє підприємство ""Телерадіокомпанія ""Класик"" ТОВ ""Радіостанція ""Великий луг""","ЗАПОРIЗЬКА обл., М. ЗАПОРІЖЖЯ, ВОЗНЕСЕНIВСЬКИЙ р-н, вул. ОЛЕКСАНДРА МАТРОСОВА, буд. 8А, КВ. (оф.) 104",36065717,+;1212; оплата за передвиб.аг.на РС Люкс ФМ на період 26.06-02.07.19 зг.рах.№СФ-3 від 25.06.19 до дог.№ 8/2019/ПВ від 25.06.19  в т. ч. ПДВ 20% 893.52 грн.,"5361,12",юридична особа,оплата ефірного часу на радіо
Європейська Солідарність,221,1212,2019-06-26,22,"ТОВ ""Незалежна телерадіокомпанія ""Ірта""","ЛУГАНСЬКА обл., М. СЄВЄРОДОНЕЦЬК, ПР-Т ГВАРДІЙСЬКИЙ, буд. 13, КВ. (оф.) 410",31530558,+;1212; оплата за передвиб.аг.на РС на період 26.06-02.07.19 зг.рах.№4-25/06/19 від 25.06.19 до дог.№7-25/06/19 від 25.06.19  в т. ч. ПДВ 20% 1377.00 грн.,8262,юридична особа,оплата ефірного часу на радіо
Європейська Солідарність,221,1212,2019-06-26,24,"Підприємство ТРК ""Подільські комунікації""","Вінницька обл., м. Ладижин, вул. Процишина, буд. 45, кв. 91",34261211,+;1212; оплата за передвиб.аг.на РС на період 26.06-02.07.19 зг.рах.№СФ-0000026 від 25.06.19 до дог.№ВІН1074/5 від 25.06.19   Без ПДВ,4590,юридична особа,оплата ефірного часу на радіо
Європейська Солідарність,221,1212,2019-06-26,32,"ТОВ ""Телерадіокомпанія ""Праймедіа""","м. Львів, пл. Галицька, буд. 15",31362476,+;1212; за ефірн.час на РС Максимум на період 26.06-02.07.19 зг.рах.№ПМ58 від 25.06.19 до дог.№ПМ.25.06.19-406964 від 25.06.19    в т. ч. ПДВ 20% 1878.84 грн.,"11273,04",юридична особа,оплата ефірного часу на радіо
Європейська Солідарність,221,1212,2019-06-26,31,"ПП ""Агенція відеорішень""","м. Київ, вул. Володимирська, буд. 61/11, оф. 50",36299802,+;1212; за ефірн.час на РС Максимум на період 26.06-02.07.19 зг.рах.№АВ23 від 25.06.19 до дог.№АВ.25.06.19-406965 від 25.06.19   Без ПДВ,1224,юридична особа,оплата ефірного часу на радіо
Європейська Солідарність,221,1212,2019-06-26,30,"ТОВ ""Телерадіокомпанія ""Світ""","м. Київ, вул. Володимирська, буд. 61/11, кв. 46",24989553,+;1212; за ефірн.час на РС на період 26.06-02.07.19 зг.рах.№СВ30 від 25.06.19 до дог.№СВ.25.06.19-406966 від 25.06.19    ПДВ 20% 581.40 грн.,"3488,4",юридична особа,оплата ефірного часу на радіо
Європейська Солідарність,221,1212,2019-06-26,29,"ТОВ ""Радіо ""Континент""","м. Київ, вул. Володимирська, буд. 61/11, оф. 50",31815315,+;1212; за ефірн.час на РС на період 26.06-02.07.19 зг.рах.№КР23 від 25.06.19 до дог.№КР.25.06.19-406967 від 25.06.19    ПДВ 20% 1239.30 грн.,"7435,8",юридична особа,оплата ефірного часу на радіо
Європейська Солідарність,221,1212,2019-06-26,27,"ТОВ ""Радіомовна компанія ""Олівін""","Одеська обл., м. Одеса, вул. ЗАСЛАВСЬКОГО, буд. 12",13924177,+;1212; за ефірн.час на РС на період 26.06-02.07.19 зг.рах.№29 від 25.06.19 до дог.№3 від 25.06.19   в т. ч. ПДВ 20% 345.78 грн.,"2074,68",юридична особа,оплата ефірного часу на радіо
Європейська Солідарність,221,1212,2019-06-26,25,"ТОВ ""АБ-радіо","м. Кропивницький, вул. Велика перспективна, буд. 17/10",13755272,+;1212; оплата за передвиб.аг.на РС на період 26.06-02.07.19 зг.рах.№40-ПА від 25.06.19 до дог.№8/ПА від 25.06.19   в т. ч. ПДВ 20% 306.07 грн.,"1836,4",юридична особа,оплата ефірного часу на радіо
Європейська Солідарність,221,1212,2019-06-26,26,"ТОВ ""Телерадіокомпанія ""Нота""","м. Київ, вул. Олександра Довженка, буд. 14, оф. 156",25612307,+;1212; за ефірн.час на РС на період 26.06-02.07.19 зг.рах.№23 від 25.06.19 до дог.№25-06/2019/П-3 від 25.06.19   в т. ч. ПДВ 20% 765.00 грн.,4590,юридична особа,оплата ефірного часу на радіо
Європейська Солідарність,221,1212,2019-06-26,28,"ТОВ ""Телерадіокомпанія ""Маяк""","Кіровоградська обл., м. Олександрія, Покровська площа, буд. 10",32100066,+;1212; за ефірн.час на РС на період 26.06-02.07.19 зг.рах.№СФ-0000031 від 25.06.19 до дог.№3 від 25.06.19   Без ПДВ,1683,юридична особа,оплата ефірного часу на радіо
Європейська Солідарність,221,1212,2019-06-26,33,"ТОВ ""Радіостанція ""Великий луг""","Запорізька обл., м. Запоріжжя, вул. ОЛЕКСАНДРА МАТРОСОВА, буд. 8 А",22142344,+;1212; за ефірн.час на радіо на період 26.06-02.07.19 зг.рах.№СФ-900 від 25.06.19 до дог.№9/2019/ПВ від 25.06.19   Без ПДВ,4284,юридична особа,оплата ефірного часу на радіо
