Партія,Тип внескодавця,Дата надходження внеску,Номер розрахункового документа,Найменування платника,Місцезнаходження платника,Код платника (ЄДРПОУ),Сума (грн)
ОПОЗИЦІЙНИЙ БЛОК,гроші партії,2019-06-25,138,Центральний офіс Опозиційний блок,"м. Київ, вул. Волоська, буд. 6/14",37120464,10000000
ОПОЗИЦІЙНИЙ БЛОК,гроші партії,2019-06-26,139,Центральний офіс Опозиційний блок,"м. Київ, вул. Волоська, буд. 6/14",37120464,5800000
ОПОЗИЦІЙНИЙ БЛОК,гроші партії,2019-07-01,141,Центральний офіс Опозиційний блок,"м. Київ, вул. Волоська, буд. 6/14",37120464,3000000
ОПОЗИЦІЙНИЙ БЛОК,гроші партії,2019-07-01,140,Центральний офіс Опозиційний блок,"м. Київ, вул. Волоська, буд. 6/14",37120464,695000
ОПОЗИЦІЙНИЙ БЛОК,гроші партії,2019-07-01,142,Центральний офіс Опозиційний блок,"м. Київ, вул. Волоська, буд. 6/14",37120464,400000
ОПОЗИЦІЙНИЙ БЛОК,гроші партії,2019-07-01,144,Центральний офіс Опозиційний блок,"м. Київ, вул. Волоська, буд. 6/14",37120464,2700000
ОПОЗИЦІЙНИЙ БЛОК,гроші партії,2019-07-02,145,Центральний офіс Опозиційний блок,"м. Київ, вул. Волоська, буд. 6/14",37120464,15000000
ОПОЗИЦІЙНИЙ БЛОК,гроші партії,2019-07-04,146,Центральний офіс Опозиційний блок,"м. Київ, вул. Волоська, буд. 6/14",37120464,8600000
ОПОЗИЦІЙНИЙ БЛОК,гроші партії,2019-07-05,149,Центральний офіс Опозиційний блок,"м. Київ, вул. Волоська, буд. 6/14",37120464,1700000
ОПОЗИЦІЙНИЙ БЛОК,гроші партії,2019-07-05,148,Центральний офіс Опозиційний блок,"м. Київ, вул. Волоська, буд. 6/14",37120464,1300000
ОПОЗИЦІЙНИЙ БЛОК,гроші партії,2019-07-05,147,Центральний офіс Опозиційний блок,"м. Київ, вул. Волоська, буд. 6/14",37120464,1000000
ОПОЗИЦІЙНИЙ БЛОК,гроші партії,2019-07-08,150,Центральний офіс Опозиційний блок,"м. Київ, вул. Волоська, буд. 6/14",37120464,3500000
ОПОЗИЦІЙНИЙ БЛОК,гроші партії,2019-07-10,151,Центральний офіс Опозиційний блок,"м. Київ, вул. Волоська, буд. 6/14",37120464,15300000
